"taxon","lfc_(Intercept)","lfc_treatment_groupApcMUT_HpWT","se_(Intercept)","se_treatment_groupApcMUT_HpWT","W_(Intercept)","W_treatment_groupApcMUT_HpWT","p_(Intercept)","p_treatment_groupApcMUT_HpWT","q_(Intercept)","q_treatment_groupApcMUT_HpWT","diff_(Intercept)","diff_treatment_groupApcMUT_HpWT","passed_ss_(Intercept)","passed_ss_treatment_groupApcMUT_HpWT","diff_robust_(Intercept)","diff_robust_treatment_groupApcMUT_HpWT","Root","Domain","Phylum","Class","Order","Family","Genus","Species","prevalence"
"OTU_387",-0.418740613583524,0.607039379902173,0.107186178650231,0.34365728576016,-3.90666612856827,1.76640916708464,0.0174428865140077,0.152075226694052,0.0833988011450993,0.51171687786928,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"Root","Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","UBA3282","UBA3282 sp003611805",0.607142857142857
"OTU_181",-0.177133626146023,0.249466350464061,0.469175869118404,0.695755795888611,-0.377542064298539,0.35855446974099,0.721265938478585,0.734570478657323,0.917468923465565,0.935455772016815,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"Root","Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","UBA3282","UBA3282 sp009774175",0.75
"OTU_179",-0.165486286330881,0.429505586375853,0.307289725099279,0.480759107970054,-0.538535046290322,0.893390430374554,0.609590298467551,0.406053145455199,0.85861029123944,0.757635747007871,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"Root","Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","UBA3282","UBA3282 sp009774215",0.857142857142857
"OTU_185",-0.578022963887832,0.904962704621947,0.25404505704169,0.364342346025596,-2.27527734890341,2.4838252113532,0.0632081116755057,0.0475582502041441,0.212317003245318,0.329644327484106,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"Root","Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","UBA3282","UBA3282 sp009774655",0.928571428571429
"OTU_184",-0.311399520172347,0.746950037165086,0.312993116259378,0.544427780055535,-0.994908526723923,1.3719910418401,0.376092431803008,0.241980855459246,0.639357134065113,0.656536564390662,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"Root","Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","UBA3282","UBA3282 sp910575245",0.75
"OTU_183",-0.0784053529753913,0.237480601983342,0.42574396334019,0.802845619974318,-0.184160809610215,0.295798589510819,0.859108751737032,0.775966082571469,0.925659429688493,0.965226102710852,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"Root","Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","UBA3282","UBA3282 sp910575775",0.964285714285714
"OTU_182",0.0773652623169882,-0.0203702668689793,0.261047757315126,0.492504273116701,0.29636440133671,-0.0413605890971681,0.77886707200454,0.968609226661258,0.922446125498385,0.989338961978145,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"Root","Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","UBA3282","UBA3282 sp910578115",0.857142857142857
"OTU_180",-0.396737022997766,0.899266037852201,0.227598331345392,0.380307275128255,-1.74314556988425,2.36457753154717,0.15626253665592,0.0772762099448237,0.371910025003333,0.394108670718601,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"Root","Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","UBA3282","UBA3282 sp910578475",0.75
"OTU_61",-0.0870467632097504,0.253035140405187,0.18827400991627,0.335077979012309,-0.462340836361121,0.755152997970935,0.657864008357775,0.474793328656551,0.873324294844344,0.796763829790582,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"Root","Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","UBA3402",NA,1
"OTU_370",0.099140378737805,-0.169782108579821,0.208718379901808,0.369626648403378,0.474995919307374,-0.459334058605364,0.659563016792851,0.66984844137171,0.873324294844344,0.890321789659585,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"Root","Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","UBA3402","UBA3402 sp021769025",0.571428571428571
